scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,full,101,bias,0.0,0.1,13,0.2,0.7,fpr_owa,1.2005996835464345,1.2492934636752335,1.1936329513941824,1.6485568056889095,1.7438379620698026
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,full,101,bias,0.0,0.1,13,0.2,0.7,crp,1.2005996835464345,1.2492934636752335,1.1936329513941824,1.6485568056889095,1.7438379620698026
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,full,101,bias,0.0,0.1,5,0.2,0.7,fpr_owa,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,full,101,bias,0.0,0.1,5,0.2,0.7,crp,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,full,101,bias,0.0,0.1,9,0.2,0.7,fpr_owa,1.7649217452909671,1.8188107961041777,1.6358181714411566,2.402411083444426,2.5208303773184952
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,full,101,bias,0.0,0.1,9,0.2,0.7,crp,1.7649217452909671,1.8188107961041777,1.6358181714411566,2.402411083444426,2.5208303773184952
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,full,101,bias,0.0,0.25,13,0.2,0.7,fpr_owa,1.236562460285135,1.2956308708465365,1.2044535377120542,1.8210582388228396,1.93807001433504
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,full,101,bias,0.0,0.25,13,0.2,0.7,crp,1.236562460285135,1.2956308708465365,1.2044535377120542,1.8210582388228396,1.93807001433504
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,full,101,bias,0.0,0.25,5,0.2,0.7,fpr_owa,1.7336143413815548,1.8099001257236493,1.6922920438569657,2.55417172044426,2.7327033676123493
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,full,101,bias,0.0,0.25,5,0.2,0.7,crp,1.7336143413815548,1.8099001257236493,1.6922920438569657,2.55417172044426,2.7327033676123493
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,full,101,bias,0.0,0.25,9,0.2,0.7,fpr_owa,1.7298027951227695,1.795488778870893,1.6024240184477152,2.4398284480022494,2.632631395399988
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,full,101,bias,0.0,0.25,9,0.2,0.7,crp,1.7298027951227695,1.795488778870893,1.6024240184477152,2.4398284480022494,2.632631395399988
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,full,101,bias,0.0,0.5,13,0.2,0.7,fpr_owa,1.2839222170748892,1.3602123416225274,1.240801419563994,2.046768449975125,2.3782249001293287
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,full,101,bias,0.0,0.5,13,0.2,0.7,crp,1.2997189676694498,1.3803135158877573,1.240801419563994,2.053681390863597,2.434949713201487
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,full,101,bias,0.0,0.5,5,0.2,0.7,fpr_owa,1.709271226509631,1.8044491280747172,1.6461929187271442,2.6895015239178703,3.0208680804791372
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,full,101,bias,0.0,0.5,5,0.2,0.7,crp,1.7108937448554966,1.8068844590176116,1.6461929187271442,2.6986287482273794,3.0208680804791372
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,full,101,bias,0.0,0.5,9,0.2,0.7,fpr_owa,1.70044414129838,1.7783768765686923,1.641228448021633,2.5752813313069827,2.867533613785253
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,full,101,bias,0.0,0.5,9,0.2,0.7,crp,1.6992102758586314,1.7771166597349781,1.641228448021633,2.5752813313069827,2.867533613785253
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,full,101,bias,0.1,0.1,13,0.2,0.7,fpr_owa,1.0945410120562316,1.1370475865085845,1.099567270216335,1.5976442639919715,1.7056900502596406
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,full,101,bias,0.1,0.1,13,0.2,0.7,crp,1.1415914113043173,1.1917849716025233,1.14531541299187,1.5976442639919715,1.7056900502596406
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,full,101,bias,0.1,0.1,5,0.2,0.7,fpr_owa,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,full,101,bias,0.1,0.1,5,0.2,0.7,crp,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,full,101,bias,0.1,0.1,9,0.2,0.7,fpr_owa,1.7131557465842207,1.7607889024167125,1.6216881717871552,2.3895547005391755,2.6068524826656265
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,full,101,bias,0.1,0.1,9,0.2,0.7,crp,1.7513530521853917,1.804028824743104,1.6409784210119405,2.3981483074830336,2.6068524826656265
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,full,101,bias,0.1,0.25,13,0.2,0.7,fpr_owa,1.1343706720046853,1.184962124752771,1.1262025979673023,1.7523445681307501,1.93807001433504
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,full,101,bias,0.1,0.25,13,0.2,0.7,crp,1.1878309726057987,1.2457507387069002,1.1713978182655744,1.7524638013672083,1.93807001433504
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,full,101,bias,0.1,0.25,5,0.2,0.7,fpr_owa,1.7336143413815548,1.8099001257236493,1.6922920438569657,2.55417172044426,2.7327033676123493
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,full,101,bias,0.1,0.25,5,0.2,0.7,crp,1.7336143413815548,1.8099001257236493,1.6922920438569657,2.55417172044426,2.7327033676123493
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,full,101,bias,0.1,0.25,9,0.2,0.7,fpr_owa,1.6879290218740823,1.7475129365778548,1.5943346499091637,2.4117367443511935,2.5823984057279774
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,full,101,bias,0.1,0.25,9,0.2,0.7,crp,1.7269383868367205,1.790519610312082,1.6547990319793697,2.432221308781799,2.5823984057279774
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,full,101,bias,0.1,0.5,13,0.2,0.7,fpr_owa,1.2072584099527315,1.273721972248634,1.1649007589047207,1.8874874349884894,2.221630566581403
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,full,101,bias,0.1,0.5,13,0.2,0.7,crp,1.268213188437591,1.3502378093226168,1.2387970940273552,1.987057174181453,2.4129216428441707
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,full,101,bias,0.1,0.5,5,0.2,0.7,fpr_owa,1.709271226509631,1.8044491280747172,1.6461929187271442,2.6895015239178703,3.0208680804791372
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,full,101,bias,0.1,0.5,5,0.2,0.7,crp,1.7108937448554966,1.8068844590176116,1.6461929187271442,2.6986287482273794,3.0208680804791372
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,full,101,bias,0.1,0.5,9,0.2,0.7,fpr_owa,1.6740815376245135,1.7484949178543567,1.5876695195774304,2.4759125240650213,2.7747231308588476
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,full,101,bias,0.1,0.5,9,0.2,0.7,crp,1.6956406818276275,1.7748936264379815,1.630037515286001,2.5722174246758733,2.7704657387066534
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,full,101,bias,0.2,0.1,13,0.2,0.7,fpr_owa,0.9798105620883405,1.0403060853043713,0.8891274085871712,1.5976442639919715,1.7056900502596406
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,full,101,bias,0.2,0.1,13,0.2,0.7,crp,0.9622242783505196,1.0293794383740913,0.8891274085871712,1.5976442639919715,1.7056900502596406
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,full,101,bias,0.2,0.1,5,0.2,0.7,fpr_owa,1.7137869759559943,1.7795393424278434,1.6009027411088605,2.4449080454817262,2.605168287783102
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,full,101,bias,0.2,0.1,5,0.2,0.7,crp,1.7392417212044196,1.812358431028568,1.6454078207894698,2.448961580022126,2.6503995344579874
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,full,101,bias,0.2,0.1,9,0.2,0.7,fpr_owa,1.6229969839786564,1.6731800006743869,1.5098584284162573,2.3802103808800967,2.504841460449386
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,full,101,bias,0.2,0.1,9,0.2,0.7,crp,1.6606562291045475,1.710022809623018,1.560201312550332,2.3832704477958364,2.504841460449386
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,full,101,bias,0.2,0.25,13,0.2,0.7,fpr_owa,1.002751431652364,1.0771860368329285,0.9250672353253921,1.7598419083712806,1.93807001433504
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,full,101,bias,0.2,0.25,13,0.2,0.7,crp,1.003134728018011,1.0838889645093963,0.9405900605343662,1.7524638013672083,1.9895077096931049
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,full,101,bias,0.2,0.25,5,0.2,0.7,fpr_owa,1.693356201101288,1.7643673400350972,1.5924318401393318,2.4945243726440607,2.713322161879084
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,full,101,bias,0.2,0.25,5,0.2,0.7,crp,1.7120215678405173,1.7880223708484215,1.6497443596420331,2.505797296796862,2.713322161879084
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,full,101,bias,0.2,0.25,9,0.2,0.7,fpr_owa,1.6248873791137541,1.6896756969515827,1.5147816129314686,2.4324882517854496,3.0701399908280944
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,full,101,bias,0.2,0.25,9,0.2,0.7,crp,1.659056885044736,1.7223907700786256,1.5664353799112547,2.4290730563367324,2.8692620738506607
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,full,101,bias,0.2,0.5,13,0.2,0.7,fpr_owa,1.0745553698992794,1.1698901230622811,1.0294662004766577,1.8718843985509566,2.3691642861580315
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,full,101,bias,0.2,0.5,13,0.2,0.7,crp,1.1264789541100872,1.2213646954693556,1.0781959018816019,1.9678095601418242,3.179475048689443
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,full,101,bias,0.2,0.5,5,0.2,0.7,fpr_owa,1.67296640555292,1.7598802145444015,1.5775002723468172,2.558268149259076,3.0208680804791372
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,full,101,bias,0.2,0.5,5,0.2,0.7,crp,1.6931280559316855,1.7896836202948572,1.63651735596516,2.6737335353919844,3.0208680804791372
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,full,101,bias,0.2,0.5,9,0.2,0.7,fpr_owa,1.643418115654815,1.732407798037465,1.5408889685436917,2.625378007415964,3.585793215755493
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,full,101,bias,0.2,0.5,9,0.2,0.7,crp,1.6630428330697165,1.748135825689961,1.5860432372499806,2.575779777572305,3.069047321510977
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,full,101,bias,0.3,0.1,13,0.2,0.7,fpr_owa,1.195270206395294,1.2273574111018626,1.1999700094968535,1.603376899036027,1.7056900502596406
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,full,101,bias,0.3,0.1,13,0.2,0.7,crp,1.1791158798801338,1.2135166193293074,1.1858250601806994,1.603376899036027,1.7056900502596406
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,full,101,bias,0.3,0.1,5,0.2,0.7,fpr_owa,2.30536101452348,2.4712255721894447,2.3481020394723235,3.8571291544026294,4.0216626430085265
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,full,101,bias,0.3,0.1,5,0.2,0.7,crp,2.2689018203039732,2.4332773858406798,2.286443689896995,3.8571291544026294,4.0216626430085265
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,full,101,bias,0.3,0.1,9,0.2,0.7,fpr_owa,1.9339695944024526,1.9961326502195806,1.9363661174634559,2.728483033155865,2.8856628646521503
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,full,101,bias,0.3,0.1,9,0.2,0.7,crp,1.9225515560827895,1.9835792755751473,1.9353744229293497,2.728483033155865,2.8856628646521503
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,full,101,bias,0.3,0.25,13,0.2,0.7,fpr_owa,1.2117147620169,1.2538455678435623,1.208536474943161,1.7632989542236357,2.2648107955012766
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,full,101,bias,0.3,0.25,13,0.2,0.7,crp,1.161601141163524,1.2144541995202003,1.166738910198456,1.7632989542236357,2.2648107955012766
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,full,101,bias,0.3,0.25,5,0.2,0.7,fpr_owa,2.26426460786899,2.4320440648265857,2.2895568640239308,3.755877172272047,4.089892749263723
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,full,101,bias,0.3,0.25,5,0.2,0.7,crp,2.204235142239557,2.3721427165364157,2.129872392888414,3.755877172272047,4.089892749263723
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,full,101,bias,0.3,0.25,9,0.2,0.7,fpr_owa,1.9182759041184776,1.9957437812873762,1.935348055667319,2.764961302244434,3.8957933064215537
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,full,101,bias,0.3,0.25,9,0.2,0.7,crp,1.906612630269557,1.9912906723555757,1.9066797433518299,2.776748820669006,3.8957933064215537
