scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,beta
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,101,bias,0.0,0.1,13,0.2,fpr_owa,1.2005996835464343,1.2492934636752335,1.1936329513941824,1.6485568056889095,1.7438379620698026,0.7
full_seed101_bias_0p0_noise0p1_s13_a0p2_b0p7,101,bias,0.0,0.1,13,0.2,crp,1.2005996835464343,1.2492934636752335,1.1936329513941824,1.6485568056889095,1.7438379620698026,0.7
full_seed101_bias_0p0_noise0p1_s13_a0p3_b0p8,101,bias,0.0,0.1,13,0.3,fpr_owa,1.459851850307026,1.5405262522493737,1.4105131735776282,2.0889440810659385,2.241185361713773,0.8
full_seed101_bias_0p0_noise0p1_s13_a0p3_b0p8,101,bias,0.0,0.1,13,0.3,crp,1.459851850307026,1.5405262522493737,1.4105131735776282,2.0889440810659385,2.241185361713773,0.8
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,101,bias,0.0,0.1,5,0.2,fpr_owa,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321,0.7
full_seed101_bias_0p0_noise0p1_s5_a0p2_b0p7,101,bias,0.0,0.1,5,0.2,crp,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321,0.7
full_seed101_bias_0p0_noise0p1_s5_a0p3_b0p8,101,bias,0.0,0.1,5,0.3,fpr_owa,1.7626268134227294,1.838567579606963,1.6659867656620362,2.496622538502625,2.5856445900776754,0.8
full_seed101_bias_0p0_noise0p1_s5_a0p3_b0p8,101,bias,0.0,0.1,5,0.3,crp,1.7626268134227294,1.838567579606963,1.6659867656620362,2.496622538502625,2.5856445900776754,0.8
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,101,bias,0.0,0.1,9,0.2,fpr_owa,1.7649217452909671,1.8188107961041775,1.6358181714411566,2.402411083444426,2.5208303773184952,0.7
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,101,bias,0.0,0.1,9,0.2,crp,1.7649217452909671,1.8188107961041775,1.6358181714411566,2.402411083444426,2.5208303773184952,0.7
full_seed101_bias_0p0_noise0p1_s9_a0p3_b0p8,101,bias,0.0,0.1,9,0.3,fpr_owa,1.748512793146674,1.822359247104944,1.6160641797705488,2.483087558392486,2.621842066792208,0.8
full_seed101_bias_0p0_noise0p1_s9_a0p3_b0p8,101,bias,0.0,0.1,9,0.3,crp,1.748512793146674,1.822359247104944,1.6160641797705488,2.483087558392486,2.621842066792208,0.8
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,101,bias,0.0,0.25,13,0.2,fpr_owa,1.236562460285135,1.2956308708465365,1.2044535377120542,1.82105823882284,1.93807001433504,0.7
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,101,bias,0.0,0.25,13,0.2,crp,1.236562460285135,1.2956308708465365,1.2044535377120542,1.82105823882284,1.93807001433504,0.7
full_seed101_bias_0p0_noise0p25_s13_a0p3_b0p8,101,bias,0.0,0.25,13,0.3,fpr_owa,1.4423166327854453,1.5394491390162115,1.4096630712143363,2.215127343217554,2.402718544702593,0.8
full_seed101_bias_0p0_noise0p25_s13_a0p3_b0p8,101,bias,0.0,0.25,13,0.3,crp,1.4423166327854453,1.5394491390162115,1.4096630712143363,2.215127343217554,2.402718544702593,0.8
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,101,bias,0.0,0.25,5,0.2,fpr_owa,1.7336143413815548,1.8099001257236491,1.6922920438569655,2.55417172044426,2.7327033676123493,0.7
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,101,bias,0.0,0.25,5,0.2,crp,1.7336143413815548,1.8099001257236491,1.6922920438569655,2.55417172044426,2.7327033676123493,0.7
full_seed101_bias_0p0_noise0p25_s5_a0p3_b0p8,101,bias,0.0,0.25,5,0.3,fpr_owa,1.7299506229173902,1.809798933912468,1.6661550456250218,2.56977910378971,2.767724316695624,0.8
full_seed101_bias_0p0_noise0p25_s5_a0p3_b0p8,101,bias,0.0,0.25,5,0.3,crp,1.7299506229173902,1.809798933912468,1.6661550456250218,2.56977910378971,2.767724316695624,0.8
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,101,bias,0.0,0.25,9,0.2,fpr_owa,1.7298027951227697,1.795488778870893,1.6024240184477152,2.4398284480022494,2.632631395399988,0.7
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,101,bias,0.0,0.25,9,0.2,crp,1.7298027951227697,1.795488778870893,1.6024240184477152,2.4398284480022494,2.632631395399988,0.7
full_seed101_bias_0p0_noise0p25_s9_a0p3_b0p8,101,bias,0.0,0.25,9,0.3,fpr_owa,1.7256608562942817,1.7990798317672998,1.6358554405371024,2.4886343819454897,2.781453042917504,0.8
full_seed101_bias_0p0_noise0p25_s9_a0p3_b0p8,101,bias,0.0,0.25,9,0.3,crp,1.7256608562942817,1.7990798317672998,1.6358554405371024,2.4886343819454897,2.781453042917504,0.8
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,101,bias,0.0,0.5,13,0.2,fpr_owa,1.2839222170748892,1.3602123416225274,1.240801419563994,2.046768449975125,2.3782249001293287,0.7
full_seed101_bias_0p0_noise0p5_s13_a0p2_b0p7,101,bias,0.0,0.5,13,0.2,crp,1.2933756575177648,1.370520634655252,1.240801419563994,2.046768449975125,2.3782249001293287,0.7
full_seed101_bias_0p0_noise0p5_s13_a0p3_b0p8,101,bias,0.0,0.5,13,0.3,fpr_owa,1.3542700790443412,1.4646362664908377,1.2917001243824369,2.3401931281901307,2.585645126688344,0.8
full_seed101_bias_0p0_noise0p5_s13_a0p3_b0p8,101,bias,0.0,0.5,13,0.3,crp,1.3683486111403969,1.479536648423644,1.2875847269589444,2.351642772855046,2.638924195582395,0.8
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,101,bias,0.0,0.5,5,0.2,fpr_owa,1.709271226509631,1.8044491280747168,1.6461929187271442,2.6895015239178703,3.020868080479137,0.7
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,101,bias,0.0,0.5,5,0.2,crp,1.7108937448554966,1.806884459017612,1.6461929187271442,2.6986287482273794,3.020868080479137,0.7
full_seed101_bias_0p0_noise0p5_s5_a0p3_b0p8,101,bias,0.0,0.5,5,0.3,fpr_owa,1.703342370087818,1.80311874125599,1.6345246869770231,2.725174442138963,3.089570498033422,0.8
full_seed101_bias_0p0_noise0p5_s5_a0p3_b0p8,101,bias,0.0,0.5,5,0.3,crp,1.70423412637046,1.8045258351022189,1.6345246869770231,2.725174442138963,3.089570498033422,0.8
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,101,bias,0.0,0.5,9,0.2,fpr_owa,1.70044414129838,1.7783768765686925,1.641228448021633,2.5752813313069827,2.867533613785253,0.7
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,101,bias,0.0,0.5,9,0.2,crp,1.7036075453122108,1.7824060350312672,1.641228448021633,2.5752813313069827,2.867533613785253,0.7
full_seed101_bias_0p0_noise0p5_s9_a0p3_b0p8,101,bias,0.0,0.5,9,0.3,fpr_owa,1.6909088150660572,1.7716248152131142,1.5885115885765302,2.610265449817572,3.033435246204024,0.8
full_seed101_bias_0p0_noise0p5_s9_a0p3_b0p8,101,bias,0.0,0.5,9,0.3,crp,1.694383152270538,1.7749161947666283,1.605303248533299,2.610265449817572,3.033435246204024,0.8
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,101,bias,0.1,0.1,13,0.2,fpr_owa,1.0945410120562316,1.1370475865085845,1.099567270216335,1.5976442639919717,1.7056900502596406,0.7
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,101,bias,0.1,0.1,13,0.2,crp,1.096256699690958,1.1386285570881456,1.1000893322743386,1.5944812369907106,1.7056900502596406,0.7
full_seed101_bias_0p1_noise0p1_s13_a0p3_b0p8,101,bias,0.1,0.1,13,0.3,fpr_owa,1.3699493307176762,1.438702433970864,1.348074613276969,2.033270501072068,2.142828786129591,0.8
full_seed101_bias_0p1_noise0p1_s13_a0p3_b0p8,101,bias,0.1,0.1,13,0.3,crp,1.3715203981573212,1.4402738944537616,1.348074613276969,2.025622632323997,2.142828786129591,0.8
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,101,bias,0.1,0.1,5,0.2,fpr_owa,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321,0.7
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,101,bias,0.1,0.1,5,0.2,crp,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321,0.7
full_seed101_bias_0p1_noise0p1_s5_a0p3_b0p8,101,bias,0.1,0.1,5,0.3,fpr_owa,1.7626268134227294,1.838567579606963,1.6659867656620362,2.496622538502625,2.5856445900776754,0.8
